ID,Image,Name(Kanji),Name(Hiragana),Name(Romaji),Localised Name,Nickname,Gender,Passive ID,Role,Game,Position,Alt Position,Element,Preferred Playstyle,Kick,Control,Technique,Pressure,Physical,Agility,Intelligence,Total Stats
2970,,瀬尾 川八,せのお かわはち,Kawahachi Senoo,Sal Armando,カッパー,男 (Male),MF4,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,DF,風 (Wind),Tension,93,101,98,81,82,75,90,620
2971,,入道 一目,いりみち いちもく,Ichimoku Irimichi,Shai Klopps,にゅうどう,男 (Male),DF6,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,MF,山 (Mountain),Breach,79,83,84,91,95,81,104,617
2972,,冷風 結子,すずかぜ ゆうこ,Yuko Suzukaze,Janice Queen,ゆきおんな,女 (Female),MF7,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,DF,風 (Wind),Bond,90,104,105,77,75,75,93,619
2973,,古民 幸子,ふるたみ こうこ,Koko Furutami,Serena Halcyon,ワラシ,女 (Female),MF7,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,DF,火 (Fire),Tension,90,104,105,77,75,75,93,619
2974,,科額 修,かぬか おさむ,Osamu Kanuka,Gus Tronom,かがく,男 (Male),DF7,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,MF,山 (Mountain),Tension,76,79,77,95,99,81,110,617
2975,,研究 理化子,けんく りかこ,Rikako Kenku,Mollie Cular,理化子,女 (Female),FW7,選手 (Player),イナズマイレブンGO シャイン／ダーク,FW,MF,林 (Forest),Justice,104,101,91,81,78,75,90,620
2976,,土 一十,つち かずと,Kazuto Tsuchi,Spark Volt,エレキ,男 (Male),DF7,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,MF,風 (Wind),Bond,76,79,77,95,99,81,110,617
2977,,鶴坂 成隆,つるさか なりたか,Naritaka Tsurusaka,Tex Tuber,フラスコ,男 (Male),MF4,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,FW,火 (Fire),Breach,93,101,98,81,82,75,90,620
2978,,原洞 受信,げんどう うけのぶ,Ukenobu Gendo,Ross Seption,パラボラ,男 (Male),DF7,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,MF,風 (Wind),Breach,76,79,77,95,99,81,110,617
2979,,文藤 量,ぶんとう はかる,Hakaru Bunto,Luke Dwight,フンドウ,男 (Male),GK6,選手 (Player),イナズマイレブンGO シャイン／ダーク,GK,DF,山 (Mountain),Counter,79,86,81,88,95,101,86,616
2980,,降川 来多留,おりかわ きたる,Kitaru Orikawa,Hunter Wanabi,降川,男 (Male),GK6,選手 (Player),イナズマイレブンGO シャイン／ダーク,GK,MF,風 (Wind),Justice,79,86,81,88,95,101,86,616
2981,,大田原 邦生,おおたわら くにお,Kunio Otawara,Walden Squire,大田原,男 (Male),FW8,選手 (Player),イナズマイレブンGO シャイン／ダーク,FW,MF,山 (Mountain),Justice,110,104,95,77,75,75,83,619
2982,,令鳴 司道,れいめい しどう,Shido Reimei,Millie Terry,令鳴,女 (Female),FW8,選手 (Player),イナズマイレブンGO シャイン／ダーク,FW,MF,山 (Mountain),Bond,110,104,95,77,75,75,83,619
2983,,突庭 撃進,とつば うちすす,Uchisusu Totsuba,Pontius Blank,チャージ,男 (Male),DF6,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,MF,風 (Wind),Justice,79,83,84,91,95,81,104,617
2984,,内村 正士郎,うちむら せいしろう,Seishiro Uchimura,Marcus Maan,内村,男 (Male),MF4,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,DF,林 (Forest),Counter,93,101,98,81,82,75,90,620
2985,,銃二 丁持子,すに てもこ,Temoko Suni,Gwen Slinga,にちょう,女 (Female),DF6,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,MF,山 (Mountain),Justice,79,83,84,91,95,81,104,617
2986,,都頼 安来,とらい やすき,Yasuki Torai,Isaac Celise,サンカク,男 (Male),FW8,選手 (Player),イナズマイレブンGO シャイン／ダーク,FW,MF,火 (Fire),Bond,110,104,95,77,75,75,83,619
2987,,円 秀立,まどか ひでたつ,Hidetatsu Madoka,Radius Pye,エン,男 (Male),DF7,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,MF,風 (Wind),Justice,76,79,77,95,99,81,110,617
2988,,須久江 資角,すくえ もとずみ,Motozumi Sukue,Rick Tangle,しかく,男 (Male),MF7,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,DF,林 (Forest),Rough Play,90,104,105,77,75,75,93,619
2989,,場津 典子,ばつ のりこ,Noriko Batsu,Xanthe Crosse,ばつ,女 (Female),MF4,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,DF,風 (Wind),Counter,93,101,98,81,82,75,90,620
2990,,台家 敏男,だいけ としお,Toshio Daike,Trappy Zeum,だいけい,男 (Male),GK6,選手 (Player),イナズマイレブンGO シャイン／ダーク,GK,MF,山 (Mountain),Breach,79,86,81,88,95,101,86,616
2991,,仰木田 桧,あおぎだ ひのき,Hinoki Aogida,Ken Dough,おうぎ,男 (Male),MF4,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,FW,林 (Forest),Tension,93,101,98,81,82,75,90,620
2992,,舞嶺 武六,まいみね たけむ,Takemu Maimine,Sam Arritan,ブレイブ,男 (Male),FW8,選手 (Player),イナズマイレブンGO シャイン／ダーク,FW,MF,火 (Fire),Bond,110,104,95,77,75,75,83,619
2993,,福音 堅司,ふくね けんじ,Kenji Fukune,Simon Cleric,ビショップ,男 (Male),GK6,選手 (Player),イナズマイレブンGO シャイン／ダーク,GK,MF,風 (Wind),Bond,79,86,81,88,95,101,86,616
2994,,原田 定蔭,はらだ さだかげ,Sadakage Harada,Archie Valry,パラディン,男 (Male),MF4,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,DF,林 (Forest),Bond,93,101,98,81,82,75,90,620
2995,,品田 戴,しなだ さい,Sai Shinada,Howard Robin,ロビン,男 (Male),DF6,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,FW,山 (Mountain),Counter,79,83,84,91,95,81,104,617
2996,,初市 詠美,はついち えいみ,Eimi Hatsuichi,Esme Hexe,ウィッチ,女 (Female),MF7,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,DF,林 (Forest),Bond,90,104,105,77,75,75,93,619
2997,,門久 主税,かどひさ ちから,Chikara Kadohisa,Freyer Monk,モンク,男 (Male),DF6,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,MF,山 (Mountain),Counter,79,83,84,91,95,81,104,617
2998,,椎発田 利久,しいばた としひさ,Toshihisa Shiibata,Caetano Settler,椎発田,男 (Male),FW8,選手 (Player),イナズマイレブンGO シャイン／ダーク,FW,MF,風 (Wind),Rough Play,110,104,95,77,75,75,83,619
2999,,一高山 狼,いたかやま ろう,Ro Itakayama,Saul Hermit,一高山,男 (Male),MF4,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,FW,林 (Forest),Justice,93,101,98,81,82,75,90,620
3000,,須永 穂摘,すなが ほつみ,Hotsumi Sunaga,Ollie Impix,須永,男 (Male),GK6,選手 (Player),イナズマイレブンGO シャイン／ダーク,GK,MF,山 (Mountain),Breach,79,86,81,88,95,101,86,616
3001,,根井路 琴美,ねいじ ことみ,Kotomi Neiji,Kit Cymbal,琴美,女 (Female),DF6,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,MF,火 (Fire),Rough Play,79,83,84,91,95,81,104,617
3002,,三干支 健一,みえと けんいち,Kenichi Mieto,Al Overa,三干支,男 (Male),MF4,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,DF,山 (Mountain),Counter,93,101,98,81,82,75,90,620
3003,,勅使河原 智恵,てしがわら ともえ,Tomoe Teshigawara,Amanda Jurr,勅使河原,女 (Female),MF4,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,DF,林 (Forest),Rough Play,93,101,98,81,82,75,90,620
3004,,境長 音久,さかなが おとひさ,Otohisa Sakanaga,Tostig Muffler,境長,男 (Male),GK6,選手 (Player),イナズマイレブンGO シャイン／ダーク,GK,DF,林 (Forest),Tension,79,86,81,88,95,101,86,616
3005,,邑縞 桐一郎,むらしま きりいちろう,Kiriichiro Murashima,Buzz Cutt,邑縞,男 (Male),DF7,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,MF,風 (Wind),Rough Play,76,79,77,95,99,81,110,617
3006,,法家 顔造,ほうか がんぞう,Ganzo Hoka,Fritzy Flaps,法家,男 (Male),MF4,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,DF,火 (Fire),Rough Play,93,101,98,81,82,75,90,620
3007,,立嶋 縦透,たてしま たすく,Tasuku Tateshima,Cornelius Roes,立嶋,男 (Male),MF4,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,FW,山 (Mountain),Bond,93,101,98,81,82,75,90,620
3008,,藻宮 解,もみや わかる,Wakaru Momiya,Fishel Bucket,もみあげ,男 (Male),DF6,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,MF,林 (Forest),Bond,79,83,84,91,95,81,104,617
3009,,前島 衛子,まえじま えいこ,Eiko Maejima,Violet Eamow,前島,女 (Female),FW8,選手 (Player),イナズマイレブンGO シャイン／ダーク,FW,MF,風 (Wind),Bond,110,104,95,77,75,75,83,619
3010,,透山 波抜,とおやま はぬき,Hanuki Toyama,Bolt Cagey,すっぱ,男 (Male),FW7,選手 (Player),イナズマイレブンGO シャイン／ダーク,FW,DF,風 (Wind),Counter,104,101,91,81,78,75,90,620
3011,,烏賊水 脚面,いかみず かつら,Katsura Ikamizu,Walter Skimmer,烏賊水,男 (Male),GK6,選手 (Player),イナズマイレブンGO シャイン／ダーク,GK,DF,林 (Forest),Rough Play,79,86,81,88,95,101,86,616
3012,,篠熊 鉤太,しのくま こうた,Kota Shinokuma,Gordon Hoe,篠熊,男 (Male),DF6,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,MF,山 (Mountain),Breach,79,83,84,91,95,81,104,617
3013,,出高 団平,いでたか だんぺい,Danpei Idetaka,Xander Noddle,出高,男 (Male),DF6,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,MF,林 (Forest),Bond,79,83,84,91,95,81,104,617
3014,,影紅 忍,かげあか しのぶ,Shinobu Kageaka,Stella Thee,忍,女 (Female),DF6,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,MF,林 (Forest),Rough Play,79,83,84,91,95,81,104,617
3015,,鉄塚 面次郎,てづか めんじろう,Menjiro Tezuka,Rudy Blush,てっかめん,男 (Male),GK6,選手 (Player),イナズマイレブンGO シャイン／ダーク,GK,DF,風 (Wind),Bond,79,86,81,88,95,101,86,616
3016,,青菜 梗一,あおさい こういち,Koichi Aosai,Buck Choy,青菜,男 (Male),MF4,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,FW,山 (Mountain),Breach,93,101,98,81,82,75,90,620
3017,,鎖 富頼,くさり とみより,Tomiyori Kusari,Beau Gotcher,鎖,男 (Male),GK6,選手 (Player),イナズマイレブンGO シャイン／ダーク,GK,MF,風 (Wind),Tension,79,86,81,88,95,101,86,616
3018,,三井 想汰,みつい そうた,Sota Mitsui,Troi Dryer,三井,男 (Male),DF7,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,MF,山 (Mountain),Counter,76,79,77,95,99,81,110,617
3019,,鹿沼 芭丁,かぬま はちょう,Hacho Kanuma,Raider Takkel,鹿沼,男 (Male),DF6,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,MF,林 (Forest),Breach,79,83,84,91,95,81,104,617
3020,,外川 近之助,とかわ ちかのすけ,Chikanosuke Tokawa,Manny Saboy,外川,男 (Male),FW8,選手 (Player),イナズマイレブンGO シャイン／ダーク,FW,MF,火 (Fire),Tension,110,104,95,77,75,75,83,619
3021,,中崎 庸,なかざき よう,Yo Nakazaki,Jack Alltrade,中崎,男 (Male),DF6,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,MF,林 (Forest),Bond,79,83,84,91,95,81,104,617
3022,,岩下 末次,いわした まつじ,Matsuji Iwashita,Spacey Flipper,岩下,男 (Male),GK6,選手 (Player),イナズマイレブンGO シャイン／ダーク,GK,MF,林 (Forest),Breach,79,86,81,88,95,101,86,616
3023,,仁詫村 桶家,にたむら おけいえ,Okeie Nitamura,Bobbie Pompon,仁詫村,男 (Male),MF4,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,DF,山 (Mountain),Breach,93,101,98,81,82,75,90,620
3024,,羽貞 資重,はさだ たたしげ,Tatashige Hasada,Frosty Patissier,パティシエ,男 (Male),DF6,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,MF,風 (Wind),Breach,79,83,84,91,95,81,104,617
3025,,後向田 蔵唯,ごこうだ くらただ,Kuratada Gokoda,Keir Mudgeon,うしろむき,男 (Male),MF4,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,DF,風 (Wind),Tension,93,101,98,81,82,75,90,620
3026,,近藤野 信次郎,こんどうの しんじろう,Shinjiro Kondono,Gus Bagge,近藤野,男 (Male),FW8,選手 (Player),イナズマイレブンGO シャイン／ダーク,FW,MF,火 (Fire),Rough Play,110,104,95,77,75,75,83,619
3027,,更科 梨華,さらしな りか,Rika Sarashina,Eira Dynamic,更科,女 (Female),GK6,選手 (Player),イナズマイレブンGO シャイン／ダーク,GK,MF,火 (Fire),Tension,79,86,81,88,95,101,86,616
3028,,早田 捌矢緒,はやた はやお,Hayao Hayata,Trump Dealer,早田,男 (Male),FW8,選手 (Player),イナズマイレブンGO シャイン／ダーク,FW,MF,林 (Forest),Rough Play,110,104,95,77,75,75,83,619
3029,,皆機戸 富威,かいきど とみお,Tomio Kaikido,Rob O'Meca,ブイ,男 (Male),GK6,選手 (Player),イナズマイレブンGO シャイン／ダーク,GK,DF,風 (Wind),Breach,79,86,81,88,95,101,86,616
3030,,張館 緊汐,はりたて みしお,Mishio Haritate,Debbie Dare,スリル,女 (Female),MF4,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,DF,山 (Mountain),Bond,93,101,98,81,82,75,90,620
3031,,播磨 忠,はりま ただし,Tadashi Harima,Bill Sye,播磨,男 (Male),DF7,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,FW,風 (Wind),Bond,76,79,77,95,99,81,110,617
3032,,神代 美夕,かみしろ みゆう,Miyu Kamishiro,Primrose Proppa,神代,女 (Female),FW8,選手 (Player),イナズマイレブンGO シャイン／ダーク,FW,MF,火 (Fire),Bond,110,104,95,77,75,75,83,619
3033,,白魁 龍千代,しろかい たつちよ,Tatsuchiyo Shirokai,Ricky Shee,白魁,男 (Male),DF7,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,MF,風 (Wind),Bond,76,79,77,95,99,81,110,617
3034,,飛居田 伴則,とびいた とものり,Tomonori Tobiita,Patrick Childs,ピーター,男 (Male),MF4,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,FW,風 (Wind),Counter,93,101,98,81,82,75,90,620
3035,,日比野 清男,ひびの きよお,Kiyoo Hibino,Ciaran Wale,ピノキオ,男 (Male),DF6,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,MF,山 (Mountain),Rough Play,79,83,84,91,95,81,104,617
3036,,見不科 王佐人,みずしな わさと,Wasato Mizushina,Leroy Kingsley,おうさま,男 (Male),GK7,選手 (Player),イナズマイレブンGO シャイン／ダーク,GK,MF,山 (Mountain),Justice,79,86,81,91,95,98,86,616
3037,,繰夢 赤頭巾,くるむ あずき,Azuki Kurumu,Rhiannon Hoode,赤頭巾,女 (Female),FW8,選手 (Player),イナズマイレブンGO シャイン／ダーク,FW,MF,火 (Fire),Bond,110,104,95,77,75,75,83,619
3038,,白雪 姫子,しろゆき ひめこ,Himeko Shiroyuki,Bianca Snough,しらゆき,女 (Female),FW8,選手 (Player),イナズマイレブンGO シャイン／ダーク,FW,MF,林 (Forest),Bond,110,104,95,77,75,75,83,619
3039,,讃瞳 律世,さんどう りつよ,Ritsuyo Sando,Cindy Reller,シンデレラ,女 (Female),FW8,選手 (Player),イナズマイレブンGO シャイン／ダーク,FW,MF,風 (Wind),Counter,110,104,95,77,75,75,83,619
3040,,園日 英智美,そのひ ひでとみ,Hidetomi Sonohi,Ted Ledd,ペンシル,男 (Male),FW8,選手 (Player),イナズマイレブンGO シャイン／ダーク,FW,MF,林 (Forest),Justice,110,104,95,77,75,75,83,619
3041,,山郭 乗,さんかく じょう,Jo Sankaku,Sita Square,トライ,女 (Female),MF4,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,DF,風 (Wind),Counter,93,101,98,81,82,75,90,620
3042,,肩野 刃,かたの じん,Jin Katano,Stanley Switch,カッター,男 (Male),MF7,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,FW,火 (Fire),Counter,90,104,105,77,75,75,93,619
3043,,文田 時測,あやた ときのり,Tokinori Ayata,Pero Tractor,ブンドキ,男 (Male),DF7,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,MF,風 (Wind),Counter,76,79,77,95,99,81,110,617
3044,,椎名 沙亜耶,しいな さあや,Saaya Shiina,Perla Sizzors,シザー,女 (Female),DF6,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,FW,林 (Forest),Tension,79,83,84,91,95,81,104,617
3045,,伊鈴 勲,いすず いさお,Isao Isuzu,Robbie Tout,イレイザー,男 (Male),GK6,選手 (Player),イナズマイレブンGO シャイン／ダーク,GK,MF,風 (Wind),Justice,79,86,81,88,95,101,86,616
3046,,砂場木 一刀,さばき いっとう,Itto Sabaki,Silas Andice,ほうちょう,男 (Male),GK6,選手 (Player),イナズマイレブンGO シャイン／ダーク,GK,MF,火 (Fire),Tension,79,86,81,88,95,101,86,616
3047,,機智野 愛美,きちの まなみ,Manami Kichino,Tia Towell,キッチン,女 (Female),MF7,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,DF,火 (Fire),Counter,90,104,105,77,75,75,93,619
3048,,八家 通,はちや とおる,Toru Hachiya,Cooper Kettle,ケトル,男 (Male),MF4,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,FW,山 (Mountain),Bond,93,101,98,81,82,75,90,620
3049,,鉄鍋 佳降,てつなべ よしたか,Yoshitaka Tetsunabe,Stuart Potty,ナベ,男 (Male),MF4,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,DF,山 (Mountain),Tension,93,101,98,81,82,75,90,620
3050,,土鍋 吉之助,つちなべ きちのすけ,Kichinosuke Tsuchinabe,Prosper Cooka,ドナベ,男 (Male),DF6,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,FW,風 (Wind),Breach,79,83,84,91,95,81,104,617
3051,,邦口 左近,ほうぐち さこん,Sakon Hoguchi,Trey Prongs,フォーク,男 (Male),DF6,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,MF,風 (Wind),Breach,79,83,84,91,95,81,104,617
3052,,朽田 紅十郎,くちた べにじゅうろう,Benijuro Kuchita,Philip Stic,るーじゅ,男 (Male),GK6,選手 (Player),イナズマイレブンGO シャイン／ダーク,GK,MF,林 (Forest),Breach,79,86,81,88,95,101,86,616
3053,,阿笘 勇夫,あとま いさお,Isao Atoma,Andy Kareem,アトマイザ,男 (Male),DF7,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,MF,山 (Mountain),Counter,76,79,77,95,99,81,110,617
3054,,馬柘植 月,うまつげ つき,Tsuki Umatsuge,Cara Mass,つけま,女 (Female),DF6,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,MF,風 (Wind),Justice,79,83,84,91,95,81,104,617
3055,,眞部田 愛紗,まぶた あいしゃ,Aisha Mabuta,Aya Shadowe,アイシャ,女 (Female),FW8,選手 (Player),イナズマイレブンGO シャイン／ダーク,FW,MF,火 (Fire),Bond,110,104,95,77,75,75,83,619
3056,,色槻 加羅,いろつき から,Kara Irotsuki,Scarlett Strands,メッシュ,女 (Female),FW8,選手 (Player),イナズマイレブンGO シャイン／ダーク,FW,MF,火 (Fire),Rough Play,110,104,95,77,75,75,83,619
3057,,櫛名田 土岐,くしなだ とき,Toki Kushinada,Silke Coombe,こーむ,女 (Female),MF4,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,FW,山 (Mountain),Bond,93,101,98,81,82,75,90,620
3058,,鉢緒 真樹夫,はちお まきお,Makio Hachio,Nuno Vertigo,はちまき,男 (Male),GK6,選手 (Player),イナズマイレブンGO シャイン／ダーク,GK,MF,火 (Fire),Bond,79,86,81,88,95,101,86,616
3059,,釘崎 鉄男,くぎざき てつお,Tetsuo Kugizaki,Ian Spike,パイル,男 (Male),GK6,選手 (Player),イナズマイレブンGO シャイン／ダーク,GK,MF,山 (Mountain),Counter,79,86,81,88,95,101,86,616
3060,,地瀬 留介,ちせ とめすけ,Tomesuke Chise,Chip Chisel,チゼル,男 (Male),DF7,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,MF,山 (Mountain),Rough Play,76,79,77,95,99,81,110,617
3061,,範場 光蔵,はんば みつぞう,Mitsuzo Hanba,Claude Hammer,ハンマー,男 (Male),MF4,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,FW,風 (Wind),Rough Play,93,101,98,81,82,75,90,620
3062,,小野田 裂夫,おのだ さきお,Sakio Onoda,Dougal Axe,アックス,男 (Male),FW8,選手 (Player),イナズマイレブンGO シャイン／ダーク,FW,MF,風 (Wind),Tension,110,104,95,77,75,75,83,619
3063,,引田 断由紀,ひきた たちゆき,Tachiyuki Hikita,Hank Saw,ジグ,男 (Male),MF4,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,DF,火 (Fire),Counter,93,101,98,81,82,75,90,620
3064,,金石 剛助,かねいし ごうすけ,Gosuke Kaneishi,Dias Mondragon,ダイヤ,男 (Male),GK6,選手 (Player),イナズマイレブンGO シャイン／ダーク,GK,MF,風 (Wind),Counter,79,86,81,88,95,101,86,616
3065,,我如古 柘榴,がねこ ざくろ,Zakuro Ganeko,Garreth Nett,ガーネット,男 (Male),DF7,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,MF,火 (Fire),Rough Play,76,79,77,95,99,81,110,617
3066,,紫水 晶,むらみず あきら,Akira Muramizu,Amelio Thyst,アメジスト,男 (Male),DF6,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,MF,山 (Mountain),Tension,79,83,84,91,95,81,104,617
3067,,御石 月長,おいし つきなが,Tsukinaga Oishi,Moonir Stone,ムンスト,男 (Male),MF7,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,FW,山 (Mountain),Breach,90,104,105,77,75,75,93,619
3068,,珊海 瑚礁,さかい ごしょう,Gosho Sakai,Cory Alberts,コーラル,男 (Male),FW8,選手 (Player),イナズマイレブンGO シャイン／ダーク,FW,MF,風 (Wind),Justice,110,104,95,77,75,75,83,619
3069,,緑翠 玉,ろくすい ぎょく,Gyoku Rokusui,Emett Raldo,エメラルド,男 (Male),FW8,選手 (Player),イナズマイレブンGO シャイン／ダーク,FW,MF,林 (Forest),Rough Play,110,104,95,77,75,75,83,619
3070,,留紅 石子,とめくれ いしこ,Ishiko Tomekure,Ruth Byron,ルビー,女 (Female),FW8,選手 (Player),イナズマイレブンGO シャイン／ダーク,FW,MF,火 (Fire),Breach,110,104,95,77,75,75,83,619
3071,,佐渡丹 樟,さどに しょう,Sho Sadoni,Ambrose Ericson,オニキス,男 (Male),GK6,選手 (Player),イナズマイレブンGO シャイン／ダーク,GK,MF,山 (Mountain),Counter,79,86,81,88,95,101,86,616
3072,,質上 蒼,しちがみ そう,So Shichigami,Sapp Hirell,サファイア,男 (Male),DF7,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,MF,風 (Wind),Counter,76,79,77,95,99,81,110,617
3073,,石黄 英世,せきおう ひでよ,Hideyo Sekio,Ciril Trine,シトリン,男 (Male),DF7,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,MF,山 (Mountain),Counter,76,79,77,95,99,81,110,617
3074,,緑青 鉱十郎,ろくしょう こじゅうろう,Kojuro Rokusho,Turco Quoisey,トルコいし,男 (Male),MF4,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,FW,林 (Forest),Counter,93,101,98,81,82,75,90,620
3075,,小原 輝流,おばら ひかる,Hikaru Obara,Ophelio Albans,オパール,男 (Male),MF4,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,FW,風 (Wind),Counter,93,101,98,81,82,75,90,620
3076,,押本 強機,おしもと つよき,Tsuyoki Oshimoto,Rufus Brunt,押本,男 (Male),GK6,選手 (Player),イナズマイレブンGO シャイン／ダーク,GK,MF,山 (Mountain),Tension,79,86,81,88,95,101,86,616
3077,,衣付 数虎,ころもつき かずとら,Kazutora Koromotsuki,Alben Moretti,ストライプ,男 (Male),MF4,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,DF,林 (Forest),Tension,93,101,98,81,82,75,90,620
3078,,閃雷 光秀,せんらい みつひで,Mitsuhide Senrai,Gordon Bolt,閃雷,男 (Male),DF7,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,MF,風 (Wind),Tension,76,79,77,95,99,81,110,617
3079,,阿基 米久,あもと よねひさ,Yonehisa Amoto,Tez Beyan,マイク,男 (Male),FW8,選手 (Player),イナズマイレブンGO シャイン／ダーク,FW,MF,山 (Mountain),Rough Play,110,104,95,77,75,75,83,619
3080,,法外 逢徒,ほうがい あいと,Aito Hogai,Dylan Quint,アウトロ,男 (Male),MF4,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,DF,風 (Wind),Breach,93,101,98,81,82,75,90,620
3081,,井手原 弥咲,いではら みさき,Misaki Idehara,Mel O'Drahma,井手原,女 (Female),FW8,選手 (Player),イナズマイレブンGO シャイン／ダーク,FW,MF,風 (Wind),Rough Play,110,104,95,77,75,75,83,619
3082,,和伊田 圭,わいだ けい,Kei Waida,Alan McCallum,けいくん,男 (Male),FW7,選手 (Player),イナズマイレブンGO シャイン／ダーク,FW,MF,林 (Forest),Justice,104,101,91,81,78,75,90,620
3083,,臥絵 博也,ふしかい ひろや,Hiroya Fushikai,Art Turner,がはく,男 (Male),GK6,選手 (Player),イナズマイレブンGO シャイン／ダーク,GK,MF,林 (Forest),Tension,79,86,81,88,95,101,86,616
3084,,日鳥 警吾,ひとり けいご,Keigo Hitori,Nai Swanson,日鳥,男 (Male),DF6,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,MF,山 (Mountain),Counter,79,83,84,91,95,81,104,617
3085,,巽 慎之助,たつみ しんのすけ,Shinnosuke Tatsumi,Juan Avis,巽,男 (Male),MF4,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,FW,風 (Wind),Counter,93,101,98,81,82,75,90,620
3086,,若海 稚藻,わこうみ いわも,Iwamo Wakomi,Caul Erpa,ワカメ,男 (Male),MF4,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,FW,山 (Mountain),Breach,93,101,98,81,82,75,90,620
3087,,御前 里巳,みまえ さとみ,Satomi Mimae,Abby de Valera,御前,女 (Female),MF4,選手 (Player),イナズマイレブンGO シャイン／ダーク,MF,FW,風 (Wind),Counter,93,101,98,81,82,75,90,620
3088,,火柘榴 ハゼル,ひざくろ はぜる,Hazeru Hizakuro,Sal Hughes,火柘榴,男 (Male),FW6,選手 (Player),イナズマイレブンGO シャイン／ダーク,FW,MF,火 (Fire),Rough Play,114,108,98,81,78,78,86,643
3089,,風乃園 清羅香,かぜのその きよらか,Kiyoraka Kazenosono,Gale Mistral,清羅香,女 (Female),DF5,選手 (Player),イナズマイレブンGO シャイン／ダーク,DF,MF,風 (Wind),Justice,83,86,88,95,99,85,107,643
